year,season,state,district,crop,crop_category,crop_type,unit,sum_insured,premium_rate,farmer_share_pct,state_share_pct,goi_share_pct,farmer_share_value,state_share_value,goi_share_value,indemnity_level,insurance_company,total_subsidy,total_premium,gov_subsidy_pct,premium_to_insured_pct
2021,Rabi,Haryana,Gurgaon,Mustard,Oilseeds,Agriculture,1,45406.0,11.0,1.5,4.75,4.75,681.09,2156.785,2156.785,90,RELIANCE GENERAL INSURANCE CO. LTD.,4313.57,4994.66,86.36363636363636,11.0
2021,Rabi,Haryana,Gurgaon,Barley (Jau),Cereals,Agriculture,1,44108.0,10.0,1.5,4.25,4.25,661.62,1874.59,1874.59,90,RELIANCE GENERAL INSURANCE CO. LTD.,3749.18,4410.8,85.0,10.0
2019,Kharif,Andhra Pradesh,Y.S.R.,Cotton (Kapas) - IR,Fiber Crops,Horticulture & Commercial,1,125000.0,10.66,5.0,2.83,2.83,6250.0,3537.5,3537.5,80,ORIENTAL INSURANCE,7075.0,13325.0,53.09568480300187,10.66
2019,Kharif,Andhra Pradesh,Y.S.R.,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,37500.0,25.26,2.0,11.63,11.63,750.0,4361.25,4361.25,80,ORIENTAL INSURANCE,8722.5,9472.5,92.08234362628662,25.259999999999998
2019,Kharif,Andhra Pradesh,Y.S.R.,Paddy (Dhan),Cereals,Agriculture,1,80000.0,14.91,2.0,6.455,6.455,1600.0,5164.0,5164.0,80,ORIENTAL INSURANCE,10328.0,11928.0,86.58618376928237,14.91
2020,Kharif,Haryana,Panchkula,Pearl Millet (Bajra),Millets,Agriculture,1,39536.0,13.229,2.0,5.6145,5.6145,790.72,2219.7487,2219.7487,90,AGRICULTURE INSURANCE COMPANY,4439.4974,5230.2174,84.88169918137628,13.228999898826387
2019,Kharif,Andhra Pradesh,Y.S.R.,Sugarcane - Ratoon,Sugar and Starch Crops,Horticulture & Commercial,1,132500.0,16.57,5.0,5.785,5.785,6625.0,7665.125,7665.125,90,ORIENTAL INSURANCE,15330.25,21955.25,69.82498491249245,16.57
2019,Kharif,Andhra Pradesh,Y.S.R.,Sunflower (Suryamukhi),Oilseeds,Agriculture,1,40000.0,18.18,2.0,8.09,8.09,800.0,3236.0,3236.0,80,ORIENTAL INSURANCE,6472.0,7272.0,88.998899889989,18.18
2019,Rabi,Gujarat,Tapi,Wheat - IR,Cereals,Agriculture,1,15000.0,7.0,1.5,2.75,2.75,225.0,412.5,412.5,70,UNITED INDIA INSURANCE CO.,825.0,1050.0,78.57142857142857,7.000000000000001
2020,Kharif,Chhattisgarh,Dhamtari,Paddy - RF (UnIR),Cereals,Agriculture,1,35000.0,13.37,2.0,5.685,5.685,700.0,1989.75,1989.75,80,AGRICULTURE INSURANCE COMPANY,3979.5,4679.5,85.04113687359761,13.370000000000001
2022,Kharif,CHHATTISGARH,Kanker,Paddy - IR,Cereals,Agriculture,1,47300.0,20.17,2.0,9.085,9.085,946.0,4297.205,4297.205,90,AGRICULTURE INSURANCE COMPANY,8594.41,9540.41,90.08428358948935,20.169999999999998
2019,Rabi,Madhya Pradesh,Ratlam,Linseed (Alsi),Oilseeds,Agriculture,1,15750.0,8.0,1.5,3.25,3.25,236.25,511.875,511.875,80,RELIANCE GENERAL INSURANCE CO. LTD.,1023.75,1260.0,81.25,8.0
2020,Rabi,SIKKIM,West District,Barley (Jau),Cereals,Agriculture,1,35400.0,2.0,1.5,0.0499999999999999,0.45,531.0,17.7,159.3,80,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,177.0,708.0,25.0,2.0
2018,Rabi,Gujarat,Chhota Udepur,Wheat - IR,Cereals,Agriculture,1,40000.0,1.52,1.5,0.01,0.01,600.0,4.0,4.0,80,BHARTI AXA GENERAL INSURANCE COMPANY LTD.,8.0,608.0,1.3157894736842104,1.52
2020,Rabi,SIKKIM,West District,Buck Wheat (Kaspat),Millets,Agriculture,1,28900.0,2.0,1.5,0.0499999999999999,0.45,433.5,14.45,130.05,80,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,144.5,578.0,25.0,2.0
2018,Kharif,Madhya Pradesh,Shajapur,Black Gram (Urad),Pulses,Agriculture,1,30000.0,2.0,2.0,0.0,0.0,600.0,0.0,0.0,80,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,0.0,600.0,0.0,2.0
2022,Rabi,Maharashtra,Parbhani,Groundnut (Pea Nut) - Summer,Oilseeds,Agriculture,1,42971.0,20.0,1.5,9.25,9.25,644.565,3974.8175,3974.8175,70,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,7949.635,8594.2,92.5,20.0
2021,Kharif,Rajasthan,Bhilwara,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,29556.0,26.64,5.0,10.82,10.82,1477.8,3197.9592,3197.9592,80,SBI GENERAL INSURANCE,6395.9184,7873.7184,81.23123123123122,26.639999999999997
2020,Rabi,Andaman  Nicobar Islands,Nicobars,Bhindi(Okra/Ladysfinger),Vegetables,Horticulture & Commercial,1,112670.0,15.0,0.5,9.5,5.0,563.35,10703.65,5633.5,80,NATIONAL INSURANCE COMPANY LIMITED,16337.15,16900.5,96.66666666666667,15.0
2022,Kharif,ANDHRA PRADESH,Sri Sathya Sai,Paddy (Dhan),Cereals,Agriculture,1,95000.0,5.03,2.0,1.5150000000000003,1.515,1900.0,1439.25,1439.25,70,SBI GENERAL INSURANCE,2878.5,4778.5,60.238568588469185,5.029999999999999
2018,Rabi,Gujarat,Morbi,Bengal Gram (Chana),Pulses,Agriculture,1,26000.0,3.57,1.5,1.035,1.035,390.0,269.1,269.1,70,UNITED INDIA INSURANCE CO.,538.2,928.2,57.98319327731093,3.5700000000000003
2021,Kharif,Rajasthan,Bhilwara,Green Gram (Moong),Pulses,Agriculture,1,28498.0,26.44,2.0,12.22,12.22,569.96,3482.4556,3482.4556,80,SBI GENERAL INSURANCE,6964.9112,7534.8712,92.4357034795764,26.439999999999998
2021,Rabi,Haryana,Yamunanagar,Barley (Jau),Cereals,Agriculture,1,44108.0,6.0,1.5,2.25,2.25,661.62,992.43,992.43,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,1984.86,2646.48,75.0,6.0
2018,Rabi,Gujarat,Morbi,Onion,Vegetables,Horticulture & Commercial,1,47000.0,7.14,5.0,1.07,1.07,2350.0,502.9,502.9,70,UNITED INDIA INSURANCE CO.,1005.8,3355.8,29.971988795518207,7.140000000000001
2019,Rabi,Meghalaya,South West Garo Hills,Paddy - Boro,Cereals,Agriculture,1,58228.0,2.99,1.5,0.745,0.745,873.42,433.7986,433.7986,80,AGRICULTURE INSURANCE COMPANY,867.5972,1741.0172,49.83277591973244,2.9899999999999998
2019,Kharif,Haryana,Jhajjar,Maize (Makka),Millets,Agriculture,1,38300.0,25.0,2.0,11.5,11.5,766.0,4404.5,4404.5,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,8809.0,9575.0,92.0,25.0
2021,Rabi,Haryana,Ambala,Bengal Gram (Chana),Pulses,Agriculture,1,33730.0,21.0,1.5,9.75,9.75,505.95,3288.675,3288.675,90,RELIANCE GENERAL INSURANCE CO. LTD.,6577.35,7083.3,92.85714285714286,21.0
2019,Rabi,Madhya Pradesh,Tikamgarh,Bengal Gram (Chana),Pulses,Agriculture,1,16500.0,15.0,1.5,6.75,6.75,247.5,1113.75,1113.75,80,AGRICULTURE INSURANCE COMPANY,2227.5,2475.0,90.0,15.0
2018,Rabi,Haryana,Sirsa,Sunflower (Suryamukhi),Oilseeds,Agriculture,1,39000.0,11.5962,1.5,5.0481,5.0481,585.0,1968.759,1968.759,90,ORIENTAL INSURANCE,3937.518,4522.518,87.06472810058467,11.5962
2021,Kharif,Rajasthan,Jaipur,Sorghum (Jowar/Great Millet),Millets,Agriculture,1,21655.0,20.0,2.0,9.0,9.0,433.1,1948.95,1948.95,80,RELIANCE GENERAL INSURANCE CO. LTD.,3897.9,4331.0,90.0,20.0
2022,Kharif,HARYANA,Fatehabad,Pearl Millet (Bajra),Millets,Agriculture,1,43588.0,9.0,2.0,3.5,3.5,871.76,1525.58,1525.58,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,3051.16,3922.92,77.77777777777777,9.0
2021,Kharif,Andaman  Nicobar Islands,South Andaman,Paddy (Dhan),Cereals,Agriculture,1,65676.0,8.0,0.5,4.5,3.0,328.38,2955.42,1970.28,80,NATIONAL INSURANCE COMPANY LIMITED,4925.7,5254.08,93.75,8.0
2022,Kharif,MADHYA PRADESH,Alirajpur,Sorghum (Jowar/Great Millet),Millets,Agriculture,1,20000.0,3.0,2.0,0.5,0.5,400.0,100.0,100.0,80,AGRICULTURE INSURANCE COMPANY,200.0,600.0,33.33333333333333,3.0
2019,Rabi,Odisha,Balangir,Black Gram (Urad),Pulses,Agriculture,1,22000.0,1.59,1.5,0.045,0.045,330.0,9.9,9.9,70,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,19.8,349.79999999999995,5.660377358490567,1.5899999999999999
2019,Rabi,Odisha,Balangir,Paddy - Summer,Cereals,Agriculture,1,66275.0,3.74,1.5,1.12,1.12,994.125,742.28,742.28,70,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,1484.56,2478.685,59.893048128342244,3.7399999999999998
2019,Rabi,Odisha,Balangir,Groundnut (Pea Nut),Oilseeds,Agriculture,1,44550.0,3.28,1.5,0.89,0.89,668.25,396.495,396.495,70,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,792.99,1461.2399999999998,54.268292682926834,3.2799999999999994
2019,Rabi,Odisha,Balangir,Sugarcane - Noble Cane,Sugar and Starch Crops,Horticulture & Commercial,1,114125.0,1.5,1.5,0.0,0.0,1711.875,0.0,0.0,70,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,0.0,1711.875,0.0,1.5
2022,Rabi,Rajasthan,Hanumangarh,Bengal Gram (Chana),Pulses,Agriculture,1,36897.0,24.13,1.5,11.315,11.315,553.455,4174.89555,4174.89555,80,AGRICULTURE INSURANCE COMPANY,8349.7911,8903.2461,93.78367177786987,24.130000000000003
2022,Kharif,ODISHA,Bargarh,Paddy (Dhan),Cereals,Agriculture,1,77000.0,22.0,2.0,10.0,10.0,1540.0,7700.0,7700.0,70,HDFC ERGO GENERAL INSURANCE CO. LTD.,15400.0,16940.0,90.9090909090909,22.0
2022,Rabi,Rajasthan,Hanumangarh,Rocket Salad (Taramira),Oilseeds,Agriculture,1,18444.0,12.34,1.5,5.42,5.42,276.66,999.6648,999.6648,80,AGRICULTURE INSURANCE COMPANY,1999.3296,2275.9896,87.84440842787683,12.34
2021,Rabi,Jammu And Kashmir,Jammu,Wheat - IR,Cereals,Agriculture,1,80000.0,10.65,1.5,4.575,4.575,1200.0,3660.0,3660.0,90,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,7320.0,8520.0,85.91549295774648,10.65
2022,Kharif,ODISHA,Bargarh,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,64250.0,10.0,5.0,2.5,2.5,3212.5,1606.25,1606.25,70,HDFC ERGO GENERAL INSURANCE CO. LTD.,3212.5,6425.0,50.0,10.0
2022,Kharif,MADHYA PRADESH,Chhindwara,Little Millet (Samai/Kutki/Kodo-Kutki),Millets,Agriculture,1,15000.0,10.0,2.0,4.0,4.0,300.0,600.0,600.0,80,AGRICULTURE INSURANCE COMPANY,1200.0,1500.0,80.0,10.0
2020,Kharif,Madhya Pradesh,Ashoknagar,Black Gram (Urad),Pulses,Agriculture,1,21000.0,15.0,2.0,6.5,6.5,420.0,1365.0,1365.0,80,AGRICULTURE INSURANCE COMPANY,2730.0,3150.0,86.66666666666667,15.0
2022,Rabi,Uttar Pradesh,Shravasti,Lentil (Masur),Pulses,Agriculture,1,38534.0,9.24,1.5,3.87,3.87,578.01,1491.2658,1491.2658,90,AGRICULTURE INSURANCE COMPANY,2982.5316,3560.5415999999996,83.76623376623377,9.239999999999998
2022,Rabi,Uttar Pradesh,Shravasti,Wheat,Cereals,Agriculture,1,58763.0,7.11,1.5,2.805,2.805,881.445,1648.30215,1648.30215,90,AGRICULTURE INSURANCE COMPANY,3296.6043,4178.049300000001,78.90295358649789,7.110000000000001
2022,Rabi,Uttar Pradesh,Sultanpur,Bengal Gram (Chana),Pulses,Agriculture,1,52640.0,25.0,1.5,11.75,11.75,789.6,6185.2,6185.2,90,AGRICULTURE INSURANCE COMPANY,12370.4,13160.0,94.0,25.0
2022,Rabi,Uttar Pradesh,Prayagraj,Lentil (Masur),Pulses,Agriculture,1,40205.0,11.12,1.5,4.81,4.81,603.075,1933.8605,1933.8605,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,3867.721,4470.796,86.51079136690647,11.120000000000001
2018,Kharif,Gujarat,Narmada,Cotton (Kapas) - IR,Fiber Crops,Horticulture & Commercial,1,86500.0,4.43,4.43,0.0,0.0,3831.95,0.0,0.0,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,0.0,3831.95,0.0,4.43
2022,Rabi,Uttar Pradesh,Prayagraj,Bengal Gram (Chana),Pulses,Agriculture,1,49959.0,16.08,1.5,7.289999999999998,7.29,749.385,3642.0111,3642.0111,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,7284.0222,8033.4072,90.67164179104479,16.08
2022,Rabi,Uttar Pradesh,Prayagraj,Wheat,Cereals,Agriculture,1,58012.0,12.24,1.5,5.37,5.37,870.18,3115.2444,3115.2444,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,6230.4888,7100.6687999999995,87.74509803921569,12.24
2022,Rabi,Uttar Pradesh,Prayagraj,Linseed (Alsi),Oilseeds,Agriculture,1,33947.0,12.23,1.5,5.365,5.365,509.205,1821.25655,1821.25655,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,3642.5131,4151.7181,87.73507767784137,12.23
2022,Rabi,Uttar Pradesh,Prayagraj,Barley (Jau),Cereals,Agriculture,1,45396.0,14.06,1.5,6.28,6.28,680.94,2850.8688,2850.8688,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,5701.7376,6382.677600000001,89.33143669985775,14.060000000000002
2022,Rabi,Uttar Pradesh,Prayagraj,Potato,Vegetables,Horticulture & Commercial,1,110997.0,3.3,3.3,0.0,0.0,3662.901,0.0,0.0,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,0.0,3662.901,0.0,3.3000000000000003
2018,Kharif,Gujarat,Narmada,Paddy - RF (UnIR),Cereals,Agriculture,1,16800.0,4.23,2.0,1.115,1.115,336.0,187.32,187.32,70,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,374.64,710.6399999999999,52.71867612293145,4.229999999999999
2018,Kharif,Gujarat,Narmada,Sorghum (Jowar/Great Millet),Millets,Agriculture,1,16800.0,2.73,2.0,0.365,0.365,336.0,61.32,61.32,70,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,122.64,458.64,26.73992673992674,2.73
2021,Kharif,Chhattisgarh,Surguja,Black Gram (Urad),Pulses,Agriculture,1,15000.0,24.9,2.0,11.45,11.45,300.0,1717.5,1717.5,80,AGRICULTURE INSURANCE COMPANY,3435.0,3735.0,91.96787148594377,24.9
2019,Kharif,Gujarat,Amreli,Cotton (Kapas) - RF,Fiber Crops,Horticulture & Commercial,1,50000.0,20.0,5.0,7.5,7.5,2500.0,3750.0,3750.0,70,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,7500.0,10000.0,75.0,20.0
2020,Rabi,ASSAM,Morigaon,Mustard,Oilseeds,Agriculture,1,33700.0,8.0,1.5,0.6500000000000004,5.85,505.5,219.05,1971.45,80,HDFC ERGO GENERAL INSURANCE CO. LTD.,2190.5,2696.0,81.25,8.0
2019,Rabi,Rajasthan,Jaisalmer,Bengal Gram (Chana),Pulses,Agriculture,1,29800.0,10.0,1.5,4.25,4.25,447.0,1266.5,1266.5,80,HDFC ERGO GENERAL INSURANCE CO. LTD.,2533.0,2980.0,85.0,10.0
2018,Kharif,Gujarat,Bharuch,Cotton (Kapas) - IR,Fiber Crops,Horticulture & Commercial,1,86500.0,3.26,3.26,0.0,0.0,2819.9,0.0,0.0,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,0.0,2819.9,0.0,3.2600000000000002
2020,Kharif,Tamil Nadu,Dharmapuri,Cabbage,Vegetables,Horticulture & Commercial,1,59774.0,11.08,5.0,3.04,3.04,2988.7,1817.1296,1817.1296,90,ORIENTAL INSURANCE,3634.2592,6622.9592,54.87364620938629,11.080000000000002
2018,Kharif,Gujarat,Bharuch,Green Gram (Moong),Pulses,Agriculture,1,13400.0,5.81,2.0,1.905,1.905,268.0,255.27,255.27,70,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,510.54,778.54,65.57659208261619,5.81
2018,Kharif,Gujarat,Bharuch,Maize (Makka),Millets,Agriculture,1,13600.0,10.0,2.0,4.0,4.0,272.0,544.0,544.0,80,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,1088.0,1360.0,80.0,10.0
2022,Kharif,MADHYA PRADESH,Anuppur,Little Millet (Samai/Kutki/Kodo-Kutki),Millets,Agriculture,1,8800.0,13.0,2.0,5.5,5.5,176.0,484.0,484.0,80,AGRICULTURE INSURANCE COMPANY,968.0,1144.0,84.61538461538461,13.0
2018,Kharif,Gujarat,Bharuch,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,57700.0,4.57,2.0,1.285,1.285,1154.0,741.445,741.445,70,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,1482.89,2636.8900000000003,56.236323851203494,4.57
2018,Kharif,Gujarat,Bharuch,Sorghum (Jowar/Great Millet),Millets,Agriculture,1,16800.0,2.67,2.0,0.335,0.335,336.0,56.28,56.28,70,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,112.56,448.55999999999995,25.093632958801503,2.67
2020,Rabi,CHHATTISGARH,Korba,Linseed (Alsi),Oilseeds,Agriculture,1,17000.0,24.9,1.5,11.7,11.7,255.0,1989.0,1989.0,80,AGRICULTURE INSURANCE COMPANY,3978.0,4233.0,93.97590361445783,24.9
2022,Kharif,MADHYA PRADESH,Dewas,Soybean (Bhat),Oilseeds,Agriculture,1,40000.0,16.9,2.0,7.449999999999998,7.45,800.0,2980.0,2980.0,80,RELIANCE GENERAL INSURANCE CO. LTD.,5960.0,6760.0,88.16568047337277,16.900000000000002
2022,Kharif,MADHYA PRADESH,Dewas,Black Gram (Urad),Pulses,Agriculture,1,15000.0,9.0,2.0,3.5,3.5,300.0,525.0,525.0,80,RELIANCE GENERAL INSURANCE CO. LTD.,1050.0,1350.0,77.77777777777779,9.0
2022,Kharif,MADHYA PRADESH,Anuppur,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,33000.0,7.0,2.0,2.5,2.5,660.0,825.0,825.0,80,AGRICULTURE INSURANCE COMPANY,1650.0,2310.0,71.42857142857143,7.000000000000001
2022,Kharif,MADHYA PRADESH,Dewas,Maize (Makka),Millets,Agriculture,1,22000.0,14.6,2.0,6.3,6.3,440.0,1386.0,1386.0,80,RELIANCE GENERAL INSURANCE CO. LTD.,2772.0,3212.0,86.3013698630137,14.6
2019,Kharif,Gujarat,Kachchh,Black Gram (Urad),Pulses,Agriculture,1,32000.0,10.0,2.0,4.0,4.0,640.0,1280.0,1280.0,80,AGRICULTURE INSURANCE COMPANY,2560.0,3200.0,80.0,10.0
2022,Kharif,MADHYA PRADESH,Anuppur,Paddy - IR,Cereals,Agriculture,1,32000.0,2.5,2.0,0.25,0.25,640.0,80.0,80.0,80,AGRICULTURE INSURANCE COMPANY,160.0,800.0,20.0,2.5
2019,Kharif,Gujarat,Kachchh,Cotton (Kapas) - IR,Fiber Crops,Horticulture & Commercial,1,45000.0,10.0,5.0,2.5,2.5,2250.0,1125.0,1125.0,90,AGRICULTURE INSURANCE COMPANY,2250.0,4500.0,50.0,10.0
2018,Kharif,Gujarat,Sabar Kantha,Pearl Millet (Bajra),Millets,Agriculture,1,23000.0,10.0,2.0,4.0,4.0,460.0,920.0,920.0,80,AGRICULTURE INSURANCE COMPANY,1840.0,2300.0,80.0,10.0
2019,Rabi,Gujarat,Gir Somnath,Onion,Vegetables,Horticulture & Commercial,1,70000.0,1.52,1.52,0.0,0.0,1064.0,0.0,0.0,80,BHARTI AXA GENERAL INSURANCE COMPANY LTD.,0.0,1064.0,0.0,1.52
2019,Rabi,Madhya Pradesh,Shajapur,Wheat - IR,Cereals,Agriculture,1,36000.0,11.75,1.5,5.125,5.125,540.0,1845.0,1845.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,3690.0,4230.0,87.2340425531915,11.75
2019,Kharif,Madhya Pradesh,Ratlam,Black Gram (Urad),Pulses,Agriculture,1,22500.0,8.0,2.0,3.0,3.0,450.0,675.0,675.0,80,RELIANCE GENERAL INSURANCE CO. LTD.,1350.0,1800.0,75.0,8.0
2022,Kharif,MADHYA PRADESH,Singrauli,Black Gram (Urad),Pulses,Agriculture,1,21735.0,6.0,2.0,2.0,2.0,434.7,434.7,434.7,80,AGRICULTURE INSURANCE COMPANY,869.4,1304.1,66.66666666666667,6.0
2020,Rabi,MADHYA PRADESH,Chhindwara,Bengal Gram (Chana),Pulses,Agriculture,1,35000.0,9.0,1.5,3.75,3.75,525.0,1312.5,1312.5,80,AGRICULTURE INSURANCE COMPANY,2625.0,3150.0,83.33333333333334,9.0
2019,Kharif,Madhya Pradesh,Ratlam,Cotton (Kapas),Fiber Crops,Horticulture & Commercial,1,45000.0,8.0,5.0,1.5,1.5,2250.0,675.0,675.0,80,RELIANCE GENERAL INSURANCE CO. LTD.,1350.0,3600.0,37.5,8.0
2022,Kharif,MADHYA PRADESH,Hoshangabad,Soybean (Bhat),Oilseeds,Agriculture,1,36500.0,18.0,2.0,8.0,8.0,730.0,2920.0,2920.0,80,AGRICULTURE INSURANCE COMPANY,5840.0,6570.0,88.88888888888889,18.0
2020,Kharif,Madhya Pradesh,Raisen,Paddy - RF (UnIR),Cereals,Agriculture,1,32000.0,25.0,2.0,11.5,11.5,640.0,3680.0,3680.0,80,AGRICULTURE INSURANCE COMPANY,7360.0,8000.0,92.0,25.0
2019,Rabi,Madhya Pradesh,Neemuch,Lentil (Masur),Pulses,Agriculture,1,22500.0,40.0,1.5,19.25,19.25,337.5,4331.25,4331.25,80,RELIANCE GENERAL INSURANCE CO. LTD.,8662.5,9000.0,96.25,40.0
2021,Kharif,Chhattisgarh,Uttar Bastar Kanker,Paddy - RF (UnIR),Cereals,Agriculture,1,38500.0,20.22,2.0,9.11,9.11,770.0,3507.35,3507.35,80,AGRICULTURE INSURANCE COMPANY,7014.7,7784.700000000001,90.10880316518298,20.220000000000002
2019,Rabi,Madhya Pradesh,Shivpuri,Bengal Gram (Chana),Pulses,Agriculture,1,27000.0,10.0,1.5,4.25,4.25,405.0,1147.5,1147.5,80,AGRICULTURE INSURANCE COMPANY,2295.0,2700.0,85.0,10.0
2018,Rabi,Gujarat,Gir Somnath,Pearl Millet (Bajra) - IR,Millets,Agriculture,1,29000.0,1.52,1.5,0.01,0.01,435.0,2.9,2.9,80,BHARTI AXA GENERAL INSURANCE COMPANY LTD.,5.8,440.79999999999995,1.3157894736842106,1.5199999999999998
2019,Rabi,Assam,Dhemaji,Paddy - Summer,Cereals,Agriculture,1,60100.0,3.0,1.5,0.75,0.75,901.5,450.75,450.75,80,AGRICULTURE INSURANCE COMPANY,901.5,1803.0,50.0,3.0
2018,Rabi,Gujarat,Gir Somnath,Wheat - IR,Cereals,Agriculture,1,58000.0,1.52,1.5,0.01,0.01,870.0,5.8,5.8,80,BHARTI AXA GENERAL INSURANCE COMPANY LTD.,11.6,881.5999999999999,1.3157894736842106,1.5199999999999998
2019,Rabi,Madhya Pradesh,Gwalior,Wheat - IR,Cereals,Agriculture,1,23100.0,5.0,1.5,1.75,1.75,346.5,404.25,404.25,80,AGRICULTURE INSURANCE COMPANY,808.5,1155.0,70.0,5.0
2018,Rabi,Haryana,Jind,Wheat,Cereals,Agriculture,1,66500.0,5.0,1.5,1.75,1.75,997.5,1163.75,1163.75,90,SBI GENERAL INSURANCE,2327.5,3325.0,70.0,5.0
2019,Kharif,Andhra Pradesh,Krishna,Paddy (Dhan),Cereals,Agriculture,1,90000.0,6.25,2.0,2.125,2.125,1800.0,1912.5,1912.5,80,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,3825.0,5625.0,68.0,6.25
2019,Kharif,Andhra Pradesh,Krishna,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,45000.0,11.0,2.0,4.5,4.5,900.0,2025.0,2025.0,80,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,4050.0,4950.0,81.81818181818183,11.0
2020,Rabi,MADHYA PRADESH,Niwari,Wheat - RF,Cereals,Agriculture,1,21000.0,13.0,1.5,5.75,5.75,315.0,1207.5,1207.5,80,AGRICULTURE INSURANCE COMPANY,2415.0,2730.0,88.46153846153845,13.0
2022,Kharif,ANDHRA PRADESH,Y.S.R.,Turmeric,Condiments and Spices,Horticulture & Commercial,1,192500.0,24.0,5.0,9.5,9.5,9625.0,18287.5,18287.5,70,AGRICULTURE INSURANCE COMPANY,36575.0,46200.0,79.16666666666666,24.0
2019,Kharif,Andhra Pradesh,Krishna,Sugarcane - Ratoon,Sugar and Starch Crops,Horticulture & Commercial,1,175000.0,3.0,3.0,0.0,0.0,5250.0,0.0,0.0,90,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,0.0,5250.0,0.0,3.0
2019,Rabi,Assam,Dhemaji,Potato,Vegetables,Horticulture & Commercial,1,131900.0,2.0,2.0,0.0,0.0,2638.0,0.0,0.0,80,AGRICULTURE INSURANCE COMPANY,0.0,2638.0,0.0,2.0
2018,Kharif,Andhra Pradesh,Chittoor,Sugarcane - Ratoon,Sugar and Starch Crops,Horticulture & Commercial,1,130000.0,3.99,3.99,0.0,0.0,5187.0,0.0,0.0,90,NATIONAL INSURANCE COMPANY LIMITED,0.0,5187.0,0.0,3.9899999999999998
2018,Kharif,Andhra Pradesh,Chittoor,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,28750.0,14.09,2.0,6.045,6.045,575.0,1737.9375,1737.9375,80,NATIONAL INSURANCE COMPANY LIMITED,3475.875,4050.875,85.80553584102199,14.09
2022,Rabi,Assam,Biswanath,Paddy - Summer,Cereals,Agriculture,1,69500.0,7.0,1.5,0.5499999999999998,4.95,1042.5,382.25,3440.25,80,AGRICULTURE INSURANCE COMPANY,3822.5,4865.0,78.57142857142857,7.000000000000001
2018,Kharif,Andhra Pradesh,Chittoor,Paddy (Dhan),Cereals,Agriculture,1,70000.0,3.99,2.0,0.995,0.995,1400.0,696.5,696.5,80,NATIONAL INSURANCE COMPANY LIMITED,1393.0,2793.0,49.87468671679198,3.9899999999999998
2021,Kharif,Chhattisgarh,Dhamtari,Paddy - IR,Cereals,Agriculture,1,50000.0,13.63,2.0,5.815,5.815,1000.0,2907.5,2907.5,90,AGRICULTURE INSURANCE COMPANY,5815.0,6815.0,85.32648569332355,13.63
2022,Rabi,Assam,Biswanath,Sugarcane - Noble Cane,Sugar and Starch Crops,Horticulture & Commercial,1,112256.0,7.0,5.0,0.1999999999999999,1.8,5612.8,224.512,2020.608,80,AGRICULTURE INSURANCE COMPANY,2245.12,7857.92,28.57142857142857,7.000000000000001
2019,Kharif,Andhra Pradesh,Prakasam,Paddy (Dhan),Cereals,Agriculture,1,82500.0,3.31,2.0,0.655,0.655,1650.0,540.375,540.375,80,SBI GENERAL INSURANCE,1080.75,2730.75,39.577039274924466,3.3099999999999996
