year,season,state,district,crop,crop_category,crop_type,unit,sum_insured,premium_rate,farmer_share_pct,state_share_pct,goi_share_pct,farmer_share_value,state_share_value,goi_share_value,indemnity_level,insurance_company,total_subsidy,total_premium,gov_subsidy_pct,premium_to_insured_pct
2018,Rabi,Assam,Golaghat,Sugarcane - Noble Cane,Sugar and Starch Crops,Horticulture & Commercial,1,100500.0,8.0,5.0,1.5,1.5,5025.0,1507.5,1507.5,90,AGRICULTURE INSURANCE COMPANY,3015.0,8040.0,37.5,8.0
2018,Rabi,Chhattisgarh,Balrampur,Wheat - RF,Cereals,Agriculture,1,15000.0,10.0,1.5,4.25,4.25,225.0,637.5,637.5,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,1275.0,1500.0,85.0,10.0
2018,Rabi,Haryana,Palwal,Barley (Jau),Cereals,Agriculture,1,40500.0,14.12,1.5,6.31,6.31,607.5,2555.55,2555.55,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,5111.1,5718.6,89.37677053824362,14.120000000000003
2022,Kharif,ANDHRA PRADESH,Nandyal,Maize (Makka),Millets,Agriculture,1,75000.0,2.73,2.0,0.365,0.365,1500.0,273.75,273.75,70,SBI GENERAL INSURANCE,547.5,2047.5,26.73992673992674,2.73
2020,Kharif,Chhattisgarh,Uttar Bastar Kanker,Black Gram (Urad),Pulses,Agriculture,1,16000.0,24.4,2.0,11.2,11.2,320.0,1792.0,1792.0,80,AGRICULTURE INSURANCE COMPANY,3584.0,3904.0,91.80327868852459,24.4
2022,Kharif,ANDAMAN & NICOBAR ISLANDS,Nicobars,Paddy (Dhan),Cereals,Agriculture,1,65676.0,8.0,0.5,4.5,3.0,328.38,2955.42,1970.28,80,NATIONAL INSURANCE COMPANY LIMITED,4925.7,5254.08,93.75,8.0
2020,Kharif,Chhattisgarh,Uttar Bastar Kanker,Maize (Makka),Millets,Agriculture,1,33000.0,18.36,2.0,8.18,8.18,660.0,2699.4,2699.4,80,AGRICULTURE INSURANCE COMPANY,5398.8,6058.8,89.10675381263616,18.360000000000003
2022,Kharif,ANDHRA PRADESH,Spsr Nellore,Groundnut (Pea Nut) - IR,Oilseeds,Agriculture,1,62500.0,14.0,2.0,6.0,6.0,1250.0,3750.0,3750.0,70,AGRICULTURE INSURANCE COMPANY,7500.0,8750.0,85.71428571428571,14.000000000000002
2020,Kharif,Madhya Pradesh,Bhopal,Paddy - RF (UnIR),Cereals,Agriculture,1,35000.0,25.0,2.0,11.5,11.5,700.0,4025.0,4025.0,80,AGRICULTURE INSURANCE COMPANY,8050.0,8750.0,92.0,25.0
2021,Kharif,Chhattisgarh,Sukma,Paddy - RF (UnIR),Cereals,Agriculture,1,32000.0,21.37,2.0,9.685,9.685,640.0,3099.2,3099.2,80,AGRICULTURE INSURANCE COMPANY,6198.4,6838.4,90.64108563406644,21.37
2018,Kharif,Assam,Cachar,Paddy - Sali,Cereals,Agriculture,1,59740.0,3.2,2.0,0.6,0.6,1194.8,358.44,358.44,80,NATIONAL INSURANCE COMPANY LIMITED,716.88,1911.68,37.5,3.2
2018,Rabi,Haryana,Jind,Barley (Jau),Cereals,Agriculture,1,40500.0,7.6172,1.5,3.0586,3.0586,607.5,1238.733,1238.733,90,SBI GENERAL INSURANCE,2477.466,3084.966,80.30772462322113,7.6172
2021,Rabi,Haryana,Palwal,Bengal Gram (Chana),Pulses,Agriculture,1,33730.0,19.0,1.5,8.75,8.75,505.95,2951.375,2951.375,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,5902.75,6408.7,92.10526315789474,19.0
2021,Rabi,Haryana,Palwal,Barley (Jau),Cereals,Agriculture,1,44108.0,12.0,1.5,5.25,5.25,661.62,2315.67,2315.67,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,4631.34,5292.96,87.5,12.0
2021,Rabi,Haryana,Palwal,Mustard,Oilseeds,Agriculture,1,45406.0,10.0,1.5,4.25,4.25,681.09,1929.755,1929.755,90,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,3859.51,4540.6,85.0,10.0
2021,Kharif,Haryana,Jind,Maize (Makka),Millets,Agriculture,1,44108.0,11.0,2.0,4.5,4.5,882.16,1984.86,1984.86,90,RELIANCE GENERAL INSURANCE CO. LTD.,3969.72,4851.88,81.81818181818181,11.0
